,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
40,6mmGbsCqf5e8vxv1WodYIG,Yathe Yathe,57,344360,0,['G. V. Prakash'],['5VVN3xZw1i2qihfITZlvCZ'],2010-11-08,0.448,0.607,9,-4.606,0,0.0611,0.791,0.0,0.0888,0.484,139.509,4,G. V. Prakash,5.739333333333334,False
41,3gzLKHfrg1ElarRLsrRp65,Slåttetid,29,200800,0,['F.a.k.s'],['0b5IsMuqRQBcBV6PJcKdhN'],2010-09-06,0.562,0.882,7,-3.718,1,0.0401,0.265,0.0,0.268,0.871,110.003,4,F.a.k.s,3.3466666666666667,False
42,6MREYRH2mfdERQFjGEwYkm,インスタントラジオ,39,248333,0,['SEKAI NO OWARI'],['7HwzlRPa9Ad0I8rK0FPzzK'],2010-04-07,0.496,0.929,7,-4.12,1,0.0412,0.00118,0.00026,0.274,0.726,100.008,4,SEKAI NO OWARI,4.138883333333333,False
43,2xYnYTANZyWZzNjqzB7R6g,Láska v housce,40,219080,0,"['XINDL X', 'Olga Lounova']","['2pQJyBmoLjRouM3bg8doKu', '54QmrKYac7fH0EHiTX8oyg']",2010-10-08,0.802,0.767,10,-7.109,0,0.0429,0.109,0.000261,0.0624,0.577,108.058,4,XINDL X,3.6513333333333335,False
44,64tuGTDoXwxo1WVLwY10wZ,The Future,35,210320,0,['The Van Jets'],['4FTPrxr5zwdfmh46OLnNhn'],2010-02-28,0.244,0.808,0,-3.657,1,0.0445,0.00104,0.00944,0.351,0.44,130.372,3,The Van Jets,3.505333333333333,False
45,7wd6EtbEb2OEH29BMFqufG,Love in Brasil,37,220369,0,['Andreea Banica'],['1MRQV5l5n4ax84U6CQljVq'],2010-06-11,0.632,0.961,5,-4.692,1,0.0394,0.014,0.535,0.877,0.858,127.989,4,Andreea Banica,3.672816666666667,False
46,1hbjib8Yw9SzAOJ9NoOg6i,Throat Full Of Glass,43,287587,0,['Combichrist'],['5556RAgwP70PnXbaUTGNbR'],2010-08-27,0.627,0.694,8,-6.833,1,0.0558,0.0019,1.38e-05,0.392,0.34,99.988,4,Combichrist,4.793116666666666,False
47,4NRL3fGTvWLJGnaui6Afki,Usame,34,234737,0,['Guidman Camposeco'],['2zyHxDQ6LfjWuy87XpXVB5'],2010-05-01,0.807,0.56,10,-6.486,1,0.0306,0.416,0.0,0.0494,0.946,129.921,4,Guidman Camposeco,3.9122833333333333,False
48,3Eqe0yeDWicGdBeD56OEDm,Naan Romba,38,245933,0,['Ranjith Govind'],['7zFlr6Y537SdALqy0Xfvth'],2010-12-20,0.777,0.928,4,-4.1,0,0.206,0.148,0.0,0.292,0.954,130.054,4,Ranjith Govind,4.098883333333333,False
49,5bFiusRTGe654D56otlCLT,Sex Med Min Ex,37,158267,0,['Julian'],['1Erel56JMo66cm9agIsV9P'],2010-04-12,0.63,0.987,0,-4.407,1,0.143,0.0193,2.43e-06,0.309,0.514,139.968,4,Julian,2.637783333333333,False
50,5XinCX3hBRHklmtqSOWQFV,Chef,35,197253,0,['Bligg'],['1q4LHoD7IzquqGQR4YZRQr'],2010-10-22,0.642,0.877,9,-4.315,0,0.0469,0.0742,0.0,0.016,0.942,144.991,4,Bligg,3.28755,False
51,6Ks1R7IMggqvG0o6U02PBQ,Consagração à Nossa Senhora - Ao Vivo,48,237893,0,['Padre Hewaldo Trevisan'],['3qmfYCTadMxjh2f3Fpy6WM'],2010-07-05,0.281,0.603,9,-7.199,1,0.0329,0.609,0.0,0.968,0.354,171.96,3,Padre Hewaldo Trevisan,3.9648833333333333,False
52,7Edh8xsa1KsjzYpDwyfUHK,Niðrá Strönd,24,183480,0,['Prins Póló'],['3SCvYjD7RLGzPh0ZtUqw66'],2010-11-01,0.951,0.347,2,-9.748,1,0.291,0.885,0.15,0.327,0.634,102.023,4,Prins Póló,3.058,False
53,57i8Ffi6kHdBCwcBZ5gqLS,Roh Kudus Kau Hadir Disini,44,124173,0,['Gloria Trio'],['56a625zOjD8ObnAXLsmV2L'],2010-03-20,0.633,0.654,4,-6.245,1,0.0351,0.567,0.000981,0.582,0.32,137.927,4,Gloria Trio,2.06955,False
54,6I9J7S7yA2MKiDuKpIP8lD,Hulagu Khan's Il Khanate Ulus,0,117996,0,['Aka Odko'],['73co6C3WdTztrHsdcFdiAJ'],2010-11-20,0.687,0.429,0,-10.199,1,0.068,0.217,0.886,0.112,0.578,169.88,4,Aka Odko,1.9666,False
55,4AYX69oFP3UOS1CFmV9UfO,Bottoms Up (feat. Nicki Minaj),74,242013,1,"['Trey Songz', 'Nicki Minaj']","['2iojnBLj0qIMiKPvVhLnsH', '0hCNtLu0JehylgoiP8L4Gh']",2010-09-14,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989,4,Trey Songz,4.03355,False
56,3LsFhUSN81Ge7162knVfH6,Goodbye My Friend(グッバイ・マイ・フレンド),35,178160,0,['Cécile Corbel'],['4mVQMbJAHOazLrBmgpgB8M'],2010-07-14,0.644,0.179,0,-18.093,1,0.0297,0.733,4.55e-06,0.0985,0.238,108.032,3,Cécile Corbel,2.969333333333333,False
57,5alzmkzsRYR34iswlNhUcK,Estar Contigo,58,262933,0,"['Alex, Jorge Y Lena']",['1Ek9jyT3RHHP5sJQRTwf2U'],2010-09-21,0.499,0.566,2,-7.553,1,0.0323,0.292,0.0,0.156,0.413,78.454,4,"Alex, Jorge Y Lena",4.382216666666666,False
58,3FB9L9B4YYuMcXIoF41Cpw,Let Them Talk,37,227554,0,['Mr. Vegas'],['1pmixngtBJleMrGUG5o8DE'],2010-04-13,0.861,0.807,0,-3.823,1,0.0636,0.123,0.0,0.0986,0.843,101.989,4,Mr. Vegas,3.7925666666666666,False
59,1ewYoK8HL3Rflxyrjo1CAY,An Irish Pub Song,55,202133,0,['The Rumjacks'],['0w2KUuMj7dvP8dV4tzoltd'],2010-09-22,0.63,0.848,2,-3.463,1,0.0373,0.0761,3.99e-06,0.37,0.738,147.009,4,The Rumjacks,3.3688833333333332,False
60,5tqs9XwwVnxj2VjY4ypoZv,เก็บเอาไว้,23,259017,0,['เอิร์น'],['5alcLfLwMTvt0uY27KTfaz'],2010-01-05,0.701,0.364,7,-10.315,1,0.0265,0.6,0.0,0.132,0.361,81.954,4,เอิร์น,4.31695,False
61,2fUxb1BQXS5BvamV4TOUj6,Vou me lembrar,41,305147,0,['Resgate'],['1Kaf4B6XHMA4agtMO1wzrf'],2010-06-01,0.358,0.693,5,-5.976,1,0.0329,0.00459,1.14e-06,0.1,0.363,115.583,4,Resgate,5.0857833333333335,False
62,7mQxnPIvw0V7LWFoHBF8uZ,Long Gone and Moved On,43,257120,0,['The Script'],['3AQRLZ9PuTAozP28Skbq8V'],2010-09-13,0.579,0.814,2,-4.802,1,0.0278,0.0161,0.0,0.384,0.652,137.947,4,The Script,4.285333333333333,False
63,1keZKS0G01SzKwLgnVivqE,(You're My) Soul And Inspiration,0,182254,0,['Smashlouse'],['0xcPljJ2pNCAcqT8c6SWnC'],2010-07-01,0.487,0.465,11,-8.588,1,0.0252,0.141,0.0,0.155,0.413,90.996,4,Smashlouse,3.0375666666666667,False
64,2HkbPwcNRj4KXTOythLyLi,En haluu kuolla tänä yönä,38,225067,0,['Jenni Vartiainen'],['6PP1ZiMzBbTeRqGvhr3pV9'],2010-03-29,0.555,0.792,11,-6.333,1,0.0428,0.0073,0.0,0.109,0.553,113.012,4,Jenni Vartiainen,3.751116666666667,False
65,7GS3a7r7VvrWF6GIkigS29,馬戲團公約,39,191387,0,['Katncandix2'],['3bnBRciC7Gz8urBu9gEQAw'],2010-05-14,0.582,0.788,2,-3.831,1,0.0361,0.00804,1.35e-05,0.0414,0.631,148.037,4,Katncandix2,3.189783333333333,False
