title,artists,rank,year,first_artist,title_fmtd,lyrics
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,2019,post malone,sunflower spider-man: into the spider-verse,URL-ERROR-LYRICS-NOT-FOUND
Happier,Marshmello & Bastille,6,2019,marshmello,happier,URL-ERROR-LYRICS-NOT-FOUND
Senorita,Shawn Mendes & Camila Cabello,15,2019,shawn mendes,senorita,URL-ERROR-LYRICS-NOT-FOUND
Eastside,"benny blanco, Halsey & Khalid",17,2019,"benny blanco, halsey",eastside,URL-ERROR-LYRICS-NOT-FOUND
Drip Too Hard,Lil Baby & Gunna,26,2019,lil baby,drip too hard,URL-ERROR-LYRICS-NOT-FOUND
Ran$om,Lil Tecca,28,2019,lil tecca,ran$om,URL-ERROR-LYRICS-NOT-FOUND
Speechless,Dan + Shay,35,2019,dan,speechless,URL-ERROR-LYRICS-NOT-FOUND
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,51,2019,gucci mane x bruno mars x kodak black,wake up in the sky,URL-ERROR-LYRICS-NOT-FOUND
The London,"Young Thug, J. Cole & Travis Scott",64,2019,"young thug, j cole",the london,URL-ERROR-LYRICS-NOT-FOUND
I Like It,"Cardi B, Bad Bunny & J Balvin",69,2019,"cardi b, bad bunny",i like it,URL-ERROR-LYRICS-NOT-FOUND
Only Human ,Jonas Brothers,78,2019,jonas brothers,only human ,URL-ERROR-LYRICS-NOT-FOUND
 Baby,Lil Baby & DaBaby,84,2019,lil baby, baby,URL-ERROR-LYRICS-NOT-FOUND
One Thing Right,Marshmello & Kane Brown,89,2019,marshmello,one thing right,URL-ERROR-LYRICS-NOT-FOUND
Tequila,Dan + Shay,91,2019,dan,tequila,URL-ERROR-LYRICS-NOT-FOUND
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",93,2019,"megan thee stallion, nicki minaj",hot girl summer,URL-ERROR-LYRICS-NOT-FOUND
All To Myself,Dan + Shay,97,2019,dan,all to myself,URL-ERROR-LYRICS-NOT-FOUND
Walk Me Home,P!nk,99,2019,pink,walk me home,URL-ERROR-LYRICS-NOT-FOUND
 Blinding Lights,The Weeknd,1,2020,the weeknd, blinding lights,URL-ERROR-LYRICS-NOT-FOUND
"10,000 Hours",Dan + Shay & Justin Bieber,23,2020,dan,10000 hours,URL-ERROR-LYRICS-NOT-FOUND
Toosie Slide ,Drake,32,2020,drake,toosie slide ,URL-ERROR-LYRICS-NOT-FOUND
Savage Love (Laxed - Siren Beat), Jawsh 685 x Jason Derulo,35,2020,jawsh 685 x jason derulo,savage love laxed - siren beat,URL-ERROR-LYRICS-NOT-FOUND
Go Crazy,Chris Brown & Young Thug,39,2020,chris brown,go crazy,URL-ERROR-LYRICS-NOT-FOUND
Senorita,Shawn Mendes & Camila Cabello,44,2020,shawn mendes,senorita,URL-ERROR-LYRICS-NOT-FOUND
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,50,2020,black eyed peas x j balvin,ritmo bad boys for life,URL-ERROR-LYRICS-NOT-FOUND
Nobody But You,Blake Shelton Duet With Gwen Stefani,52,2020,blake shelton duet,nobody but you,URL-ERROR-LYRICS-NOT-FOUND
Come & Go,Juice WRLD x Marshmello,54,2020,juice wrld x marshmello,come and go,URL-ERROR-LYRICS-NOT-FOUND
Bandit,Juice WRLD & YoungBoy Never Broke Again,63,2020,juice wrld,bandit,URL-ERROR-LYRICS-NOT-FOUND
Die From A Broken Heart,Maddie & Tae,65,2020,maddie,die from a broken heart,URL-ERROR-LYRICS-NOT-FOUND
Stuck With U,Ariana Grande & Justin Bieber,80,2020,ariana grande,stuck with u,URL-ERROR-LYRICS-NOT-FOUND
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",86,2020,"the scotts, travis scott",the scotts,URL-ERROR-LYRICS-NOT-FOUND
P*$$y Fairy (OTW),Jhene Aiko,94,2020,jhene aiko,p*$$y fairy otw,URL-ERROR-LYRICS-NOT-FOUND
