id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
4TCL0qqKyqsMZml0G3M9IM,Telephone,70,220640,0,"['Lady Gaga', 'Beyoncé']","['1HY2Jd0NmPuamShAr6KMms', '6vWDO969PvNqNYHIOW5v0m']",2009-11-05,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,4,Lady Gaga,3.6773333333333333,True
6pymOcrCnMuCWdgGVTvUgP,3,66,213173,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],2009-11-09,0.697,0.709,5,-1.917,0,0.0455,0.0452,0.0,0.138,0.787,134.91,4,Britney Spears,3.5528833333333334,True
1HfxPaJggVwFsvOtHbVzMz,Live Like We're Dying,54,212507,0,['Kris Allen'],['2zwHaEmXxX6DTv4i8ajNCM'],2009-11-16,0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011,4,Kris Allen,3.5417833333333335,True
60jzFy6Nn4M0iD1d94oteF,Rude Boy,76,222920,1,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],2009-11-20,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,4,Rihanna,3.715333333333333,True
3YJkAQNEhmCZGLdmPsu6Ye,Hard,57,250600,1,"['Rihanna', 'Jeezy']","['5pKCCKE2ajJHZ9KAiaK11H', '4yBK75WVCQXej1p04GWqxH']",2009-11-20,0.31,0.746,1,-3.599,1,0.111,0.0121,0.0,0.649,0.163,182.032,4,Rihanna,4.176666666666667,True
2rDwdvBma1O1eLzo29p2cr,Whataya Want from Me,64,227320,0,['Adam Lambert'],['6prmLEyn4LfHlD9NnXWlf7'],2009-11-23,0.44,0.683,11,-4.732,0,0.0489,0.00706,0.0,0.0593,0.445,185.948,4,Adam Lambert,3.788666666666667,True
4JOP8ELK6AaeySe7sKe996,Un-thinkable (I'm Ready),64,249240,0,['Alicia Keys'],['3DiDSECUqqY1AuBP8qtaIa'],2009-12-15,0.595,0.507,7,-7.892,1,0.0618,0.732,1.97e-05,0.106,0.337,86.099,4,Alicia Keys,4.154,True
1yK9LISg5uBOOW5bT2Wm0i,Try Sleeping with a Broken Heart,62,249013,0,['Alicia Keys'],['3DiDSECUqqY1AuBP8qtaIa'],2009-12-15,0.496,0.82,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,110.977,5,Alicia Keys,4.150216666666667,True
6H2wnX7ytNeCKERIVqCwgs,I Made It (Cash Money Heroes),56,249547,1,"['Kevin Rudolf', 'Birdman', 'Jay Sean', 'Lil Wayne']","['0Chxmm4XMM87mJOHvyiUzL', '35sCXuy5gN6Or69rZ9vqBs', '4pADjHPWyrlAF0FA7joK2H', '55Aa2cqylxrFIXC767Z865']",2010-01-01,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42,5,Kevin Rudolf,4.159116666666667,True
11ozIUBoXAgRTVWelDn4pL,Lights,60,244267,0,['Ellie Goulding'],['0X2BH1fck6amBIoJhDVmmJ'],2010-01-01,0.703,0.731,8,-6.283,0,0.0311,0.0721,0.00191,0.138,0.719,120.028,4,Ellie Goulding,4.071116666666667,True
0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,66,247587,0,['Sugarland'],['0hYxQe3AK5jBPCr5MumLHD'],2010-01-01,0.702,0.795,1,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961,4,Sugarland,4.12645,True
0RZyUsKfiC7MtiGKatCtGc,Misery,66,216200,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2010-01-01,0.703,0.81,4,-4.874,0,0.0424,0.000315,0.0,0.216,0.726,102.978,4,Maroon 5,3.6033333333333335,True
4xInIiKipU1mtUogJ3ZdYr,American Honey,65,224867,0,['Lady A'],['32WkQRZEVKSzVAAYqukAEA'],2010-01-01,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997,4,Lady A,3.7477833333333335,True
4aY0tZIaboefmkBEsjAovI,If I Die Young,65,222773,0,['The Band Perry'],['75FnCoo4FBxH5K1Rrx0k5A'],2010-01-01,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,4,The Band Perry,3.7128833333333335,True
7HacCTm33hZYYN8DXpCYuG,I Like It,65,231373,0,"['Enrique Iglesias', 'Pitbull']","['7qG3b048QCHVRO5Pv1T5lw', '0TnOYISbd1XYRBk9myaseg']",2010-01-01,0.648,0.942,10,-2.881,0,0.0878,0.021,0.0,0.0594,0.73,129.007,4,Enrique Iglesias,3.8562166666666666,True
0l4DTppOxy7NUaEcwXuOb6,Animal,67,212307,0,['Neon Trees'],['0RpddSzUHfncUWNJXKOsjy'],2010-01-01,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,4,Neon Trees,3.53845,True
7vWFaMq63AwkFDhS2OAg5u,The Time (Dirty Bit),72,307640,0,['Black Eyed Peas'],['1yxSLGMDHlW21z4YXirZDS'],2010-01-01,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,4,Black Eyed Peas,5.1273333333333335,True
1ia019RqDK2o4QiANR1Dyn,Moment 4 Life,71,279307,1,"['Nicki Minaj', 'Drake']","['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4']",2010-01-01,0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001,4,Nicki Minaj,4.655116666666666,True
